feature_name,importance
1_framed_ACA,12
1_framed_GGT,12
CTDD_141,12
AAC_A,12
3_framed_TAT,12
3_framed_TT.gap1,11
3_framed_TG.gap1,11
CTDD_61,11
CTDD_112,11
CTDD_174,11
CTDT_38,11
CTDD_81,11
2_framed_CCA,11
2_framed_TDE.AGG,11
DPC_TY,11
DPC_SF,11
DPC_EE,11
1_framed_TDE.CTT,11
2_framed_TDE.TAG,11
1_framed_CCC,11
2_framed_TDE.GGG,11
DPC_FT,11
CTDD_2,11
DPC_TC,11
1_framed_AAT,11
2_framed_TCA,11
CTDD_167,11
CTDD_177,10
1_framed_CTA,10
1_framed_GCG,10
3_framed_TDE.CCT,10
1_framed_CCT,10
2_framed_TDE.GCA,10
CTDT_36,10
CTDT_22,10
1_framed_ACT,10
CTDT_29,10
CTDT_31,10
2_framed_CTG,10
3_framed_ACC,10
1_framed_TA.gap1,10
DPC_YG,10
3_framed_ACA,10
CTDD_34,10
DPC_AP,10
DPC_KY,10
1_framed_TDE.GAG,10
3_framed_TTG,10
DPC_LV,10
2_framed_TDE.CAA,10
2_framed_TDE.CAT,10
CTDD_160,10
2_framed_GT.gap1,10
3_framed_GC.gap1,10
CTDC_19,10
DPC_HV,9
DPC_YD,9
CTDC_12,9
3_framed_TDE.TTA,9
CTDC_15,9
CTDD_1,9
3_framed_TDE.TGA,9
CTDD_35,9
CTDD_50,9
AAC_R,9
CTDD_51,9
CTDD_104,9
3_framed_TDE.GCA,9
CTDD_171,9
3_framed_TDE.TCA,9
DPC_PA,9
CTDT_39,9
1_framed_TDE.ACT,9
2_framed_ATC,9
3_framed_GCA,9
2_framed_ATG,9
1_framed_CG.gap1,9
2_framed_CAG,9
1_framed_TDE.TTT,9
3_framed_TDE.TCT,8
DPC_RT,8
1_framed_CGC,8
CTDD_27,8
CTDT_13,8
2_framed_AAT,8
DPC_GF,8
DPC_PG,8
CTDD_32,8
CTDD_144,8
CTDD_89,8
CTDD_94,8
CTDC_5,8
2_framed_TDE.CCC,8
CTDD_165,8
CTDC_3,8
CTDD_153,8
CTDD_92,8
1_framed_TDE.CTG,8
CTDC_28,8
CTDD_71,8
3_framed_TDE.ACT,8
CTDD_114,8
CTDD_3,8
DPC_IH,8
1_framed_TDE.CCA,8
CTDT_37,8
3_framed_TDE.AGG,8
3_framed_TDE.ACA,8
1_framed_TTA,7
3_framed_AGG,7
3_framed_TDE.CCG,7
CTDT_34,7
2_framed_TDE.ATC,7
CTDD_75,7
CTDD_33,7
3_framed_TDE.TCG,7
2_framed_TDE.CGC,7
DPC_FF,7
2_framed_TT.gap1,7
CTDD_164,7
3_framed_AA.gap1,7
CTDD_87,7
3_framed_TCC,7
2_framed_TDE.TTT,7
3_framed_TDE.GGT,7
CTDD_8,7
1_framed_AAA,7
CTDD_137,7
CTDD_24,7
3_framed_TDE.CGC,7
DPC_WA,7
2_framed_TDE.TCT,7
1_framed_AG.gap1,7
CTDC_14,7
3_framed_ACG,7
CTDD_69,7
DPC_SI,7
CTDD_62,7
DPC_TA,7
1_framed_CTG,7
3_framed_TDE.GGA,7
3_framed_TDE.AGC,7
CTDD_82,7
3_framed_TGG,6
DPC_FN,6
CTDD_100,6
DPC_WV,6
CTDD_162,6
DPC_TN,6
DPC_EP,6
CTDD_142,6
2_framed_ACC,6
3_framed_CGC,6
DPC_EG,6
CTDD_105,6
DPC_EN,6
2_framed_AGA,6
3_framed_TDE.GGG,6
2_framed_TTC,6
CTDC_9,6
2_framed_TDE.GGA,6
CTDD_17,6
3_framed_AT.gap1,6
2_framed_TDE.ACC,6
1_framed_CAG,6
DPC_IA,6
CTDT_3,6
3_framed_TDE.TAC,6
CTDD_52,6
3_framed_TDE.CAC,6
2_framed_TDE.CGG,6
CTDT_15,6
1_framed_TDE.ACA,6
2_framed_TDE.CCT,6
2_framed_ACT,6
3_framed_TDE.TTC,6
1_framed_CAA,6
2_framed_TDE.CCA,6
CTDD_184,6
CTDD_10,6
CTDD_7,6
CTDC_37,6
2_framed_GAG,6
DPC_IS,6
DPC_DM,5
DPC_VW,5
DPC_VN,5
2_framed_CTT,5
CTDD_25,5
CTDD_29,5
DPC_HH,5
CTDD_41,5
DPC_EK,5
DPC_GS,5
CTDD_90,5
CTDD_53,5
CTDD_54,5
CTDD_88,5
CTDD_58,5
CTDD_60,5
CTDD_76,5
DPC_GD,5
DPC_FM,5
2_framed_GCG,5
1_framed_TDE.TAT,5
AAC_G,5
2_framed_AC.gap1,5
2_framed_TDE.GGT,5
DPC_RL,5
2_framed_TDE.GAC,5
DPC_PF,5
DPC_AI,5
1_framed_GAA,5
CTDD_170,5
1_framed_TDE.TGT,5
CTDD_172,5
1_framed_GCC,5
1_framed_TDE.TTG,5
DPC_SC,5
CTDD_181,5
DPC_NQ,5
2_framed_TDE.CAG,5
DPC_RA,5
CTDD_157,5
DPC_PV,5
DPC_CL,5
CTDT_27,5
1_framed_TDE.TCA,5
CTDD_135,5
3_framed_TDE.ACC,5
2_framed_TDE.TTC,5
2_framed_TDE.CTC,4
3_framed_TDE.TAG,4
DPC_PW,4
DPC_KH,4
CTDC_21,4
DPC_PQ,4
2_framed_GGA,4
DPC_KE,4
DPC_SE,4
3_framed_TDE.TTG,4
DPC_GI,4
1_framed_TDE.GCG,4
3_framed_CCT,4
DPC_KA,4
CTDD_195,4
2_framed_GTT,4
2_framed_GTC,4
DPC_GC,4
2_framed_TDE.GTT,4
3_framed_GAT,4
1_framed_ATA,4
DPC_RC,4
CTDT_18,4
3_framed_GGT,4
CTDT_30,4
DPC_QR,4
3_framed_TDE.GAT,4
1_framed_TDE.CGG,4
CTDD_40,4
3_framed_CTG,4
CTDT_5,4
CTDD_44,4
DPC_DE,4
DPC_QG,4
1_framed_TDE.AGC,4
DPC_VL,4
CTDD_85,4
1_framed_GTT,4
DPC_CP,4
CTDD_159,4
2_framed_TC.gap1,4
CTDD_133,4
1_framed_TTG,4
CTDD_102,4
DPC_TE,4
DPC_EA,4
CTDD_151,4
CTDD_93,4
2_framed_AT.gap1,4
CTDD_140,4
CTDD_97,4
DPC_LY,4
CTDD_84,4
DPC_VG,4
1_framed_TDE.GTG,4
CTDD_183,4
CTDD_67,4
DPC_LL,4
DPC_SH,4
CTDD_182,4
CTDD_72,4
CTDD_176,4
CTDD_73,4
1_framed_TDE.TCT,4
1_framed_TDE.AAA,4
CTDD_127,4
2_framed_CCT,4
DPC_MV,3
DPC_TW,3
3_framed_GAC,3
DPC_MP,3
DPC_PT,3
DPC_MR,3
3_framed_CGG,3
DPC_TT,3
DPC_WQ,3
2_framed_TDE.TGA,3
CTDC_13,3
DPC_YT,3
3_framed_TAG,3
DPC_RV,3
DPC_YA,3
3_framed_TAC,3
DPC_LR,3
DPC_SL,3
DPC_SP,3
DPC_LD,3
3_framed_CG.gap1,3
DPC_WS,3
3_framed_GTA,3
2_framed_CA.gap1,3
DPC_NP,3
DPC_RK,3
DPC_TS,3
DPC_RG,3
CTDC_31,3
2_framed_TDE.AGT,3
DPC_EC,3
DPC_DV,3
2_framed_ATT,3
DPC_DN,3
CTDD_115,3
2_framed_ACG,3
CTDD_126,3
2_framed_AAG,3
CTDD_145,3
1_framed_TDE.TCC,3
CTDD_168,3
CTDD_169,3
2_framed_TDE.ACG,3
2_framed_TDE.ATT,3
DPC_ES,3
CTDT_4,3
3_framed_TDE.GTC,3
3_framed_TDE.GCC,3
2_framed_TDE.CTT,3
1_framed_CGT,3
CTDT_12,3
3_framed_TDE.CTG,3
2_framed_TDE.GTC,3
CTDT_23,3
CTDT_24,3
1_framed_AGT,3
3_framed_TDE.AAG,3
1_framed_AAC,3
CTDD_95,3
CTDD_120,3
1_framed_TDE.GGC,3
2_framed_GAA,3
DPC_HR,3
2_framed_TAA,3
DPC_GT,3
CTDD_26,3
2_framed_TGT,3
2_framed_GCA,3
DPC_FW,3
DPC_IF,3
1_framed_TDE.GCA,3
CTDD_6,3
CTDD_74,3
3_framed_ATA,3
3_framed_GGC,2
CTDD_192,2
CTDD_194,2
CTDT_1,2
DPC_SA,2
DPC_RW,2
DPC_QK,2
3_framed_ATC,2
CTDC_10,2
1_framed_CTC,2
3_framed_GCT,2
3_framed_CTT,2
3_framed_AAT,2
CTDD_12,2
CTDT_14,2
3_framed_ACT,2
DPC_RH,2
CTDT_17,2
CTDT_25,2
DPC_QP,2
CTDT_21,2
CTDD_185,2
CTDD_83,2
2_framed_TCG,2
CTDD_129,2
CTDD_91,2
CTDD_79,2
DPC_YF,2
DPC_VY,2
CTDD_103,2
DPC_VQ,2
3_framed_TCT,2
DPC_VM,2
CTDD_108,2
2_framed_AGT,2
DPC_TR,2
CTDC_34,2
CTDD_131,2
3_framed_GTC,2
DPC_TF,2
CTDD_132,2
2_framed_ACA,2
CTDD_138,2
CTDD_139,2
2_framed_GTA,2
CTDD_158,2
CTDD_163,2
2_framed_TAT,2
DPC_SN,2
2_framed_CGT,2
CTDD_178,2
2_framed_TCC,2
2_framed_TDE.TGC,2
1_framed_TDE.CTA,2
3_framed_TDE.GGC,2
DPC_DI,2
DPC_MS,2
2_framed_TDE.CCG,2
1_framed_TDE.GGT,2
2_framed_TDE.CTA,2
3_framed_TDE.GTT,2
DPC_NL,2
DPC_EM,2
3_framed_TDE.GCT,2
DPC_NR,2
3_framed_TDE.GCG,2
3_framed_TDE.GAG,2
3_framed_TDE.GAC,2
2_framed_TDE.GAG,2
3_framed_TDE.TTT,2
2_framed_TDE.CAC,2
2_framed_TDE.AGC,2
DPC_ML,2
DPC_MK,2
DPC_KK,2
DPC_DC,2
2_framed_TDE.AAC,2
DPC_KT,2
1_framed_TDE.GTT,2
DPC_CQ,2
DPC_AV,2
1_framed_TDE.GCT,2
DPC_LQ,2
1_framed_TDE.CGA,2
DPC_AK,2
DPC_AF,2
3_framed_TDE.CTC,2
DPC_AH,2
DPC_FK,2
2_framed_TDE.TCC,2
DPC_HC,2
2_framed_TDE.TAT,2
DPC_GN,2
DPC_FD,2
3_framed_TDE.AAA,2
1_framed_TDE.CTC,2
DPC_GE,2
DPC_FQ,2
DPC_ET,2
3_framed_TDE.AGT,2
DPC_HQ,2
DPC_HS,2
3_framed_CTC,1
DPC_KV,1
DPC_GQ,1
DPC_KG,1
DPC_DD,1
DPC_GP,1
DPC_GM,1
DPC_KP,1
CTDD_57,1
DPC_ER,1
1_framed_TDE.GCC,1
DPC_LA,1
DPC_CT,1
DPC_FL,1
DPC_LK,1
DPC_CF,1
DPC_CE,1
DPC_CA,1
DPC_AY,1
DPC_GG,1
DPC_WT,1
DPC_GA,1
DPC_FY,1
DPC_LI,1
DPC_KF,1
DPC_DG,1
DPC_ID,1
DPC_HP,1
DPC_EV,1
2_framed_TGC,1
CTDD_19,1
2_framed_TGA,1
2_framed_CGC,1
CTDD_18,1
DPC_IC,1
CTDD_15,1
3_framed_TGT,1
CTDD_13,1
DPC_FE,1
DPC_IG,1
DPC_HW,1
CTDD_9,1
CTDD_96,1
2_framed_CTA,1
3_framed_AGA,1
DPC_IN,1
DPC_IQ,1
CTDD_45,1
3_framed_ATT,1
DPC_DL,1
CTDD_109,1
CTDD_110,1
DPC_FI,1
CTDD_14,1
2_framed_GAC,1
DPC_AG,1
1_framed_TDE.ACG,1
DPC_RI,1
1_framed_GTC,1
2_framed_TDE.AAA,1
DPC_VH,1
1_framed_GGC,1
2_framed_TDE.GTA,1
DPC_RN,1
DPC_VF,1
2_framed_TDE.GCT,1
CTDT_20,1
1_framed_CCG,1
2_framed_TDE.GCG,1
2_framed_TDE.ACA,1
DPC_TV,1
DPC_MQ,1
DPC_SG,1
CTDT_7,1
DPC_TL,1
CTDT_6,1
DPC_SQ,1
DPC_WD,1
1_framed_TDE.ATA,1
DPC_MT,1
DPC_SV,1
3_framed_TDE.TCC,1
DPC_MY,1
1_framed_GCT,1
DPC_PK,1
CTDD_175,1
1_framed_GTG,1
DPC_VS,1
DPC_QF,1
DPC_PY,1
DPC_QN,1
1_framed_TDE.ACC,1
DPC_QQ,1
1_framed_TDE.CCC,1
CTDT_32,1
3_framed_TDE.AAT,1
1_framed_TDE.CAT,1
DPC_RF,1
CTDT_28,1
1_framed_TDE.TCG,1
3_framed_TDE.ACG,1
DPC_VR,1
1_framed_TDE.CAG,1
DPC_RE,1
DPC_FS,0
DPC_EF,0
2_framed_TDE.TTA,0
DPC_FR,0
DPC_EH,0
DPC_EI,0
DPC_FC,0
2_framed_TDE.CGT,0
1_framed_ACC,0
DPC_FA,0
2_framed_CTC,0
DPC_EY,0
3_framed_TDE.GTA,0
DPC_FH,0
2_framed_TDE.TAA,0
DPC_EW,0
1_framed_ACG,0
3_framed_TDE.TGT,0
DPC_EL,0
2_framed_TDE.GAT,0
3_framed_TDE.CGT,0
3_framed_TDE.ATT,0
DPC_EQ,0
3_framed_TDE.CGG,0
DPC_FP,0
2_framed_TDE.TAC,0
3_framed_TDE.ATC,0
3_framed_TDE.ATA,0
2_framed_TDE.CGA,0
DPC_DQ,0
2_framed_CGA,0
1_framed_TDE.GTA,0
DPC_CM,0
DPC_CK,0
CTDD_134,0
DPC_CI,0
DPC_CH,0
DPC_CG,0
DPC_CD,0
DPC_CC,0
DPC_AW,0
DPC_AC,0
CTDD_147,0
CTDD_148,0
CTDD_149,0
DPC_AD,0
DPC_AT,0
2_framed_AAC,0
DPC_AE,0
DPC_AS,0
2_framed_AAA,0
DPC_AR,0
DPC_AQ,0
DPC_AN,0
DPC_AM,0
DPC_AL,0
1_framed_TCC,0
1_framed_TDE.TTA,0
DPC_CN,0
CTDD_130,0
2_framed_AGC,0
DPC_DY,0
DPC_DW,0
DPC_DT,0
DPC_DS,0
DPC_DR,0
CTDD_190,0
1_framed_TDE.GTC,0
CTDD_189,0
CTDD_188,0
CTDD_187,0
DPC_DH,0
CTDD_186,0
1_framed_GTA,0
DPC_DF,0
2_framed_TDE.AAT,0
CTDD_180,0
CTDD_179,0
DPC_DA,0
DPC_CY,0
CTDD_122,0
CTDD_123,0
CTDD_124,0
CTDD_125,0
DPC_CW,0
CTDD_150,0
DPC_QD,0
DPC_FV,0
DPC_MN,0
DPC_MI,0
DPC_VE,0
DPC_VD,0
DPC_VC,0
DPC_VA,0
3_framed_TTC,0
DPC_MM,0
DPC_TQ,0
DPC_VK,0
DPC_TP,0
DPC_TM,0
DPC_TK,0
DPC_TI,0
DPC_TH,0
DPC_MW,0
DPC_NA,0
DPC_VI,0
DPC_MH,0
DPC_SY,0
DPC_WH,0
1_framed_TDE.CCG,0
DPC_WP,0
DPC_WN,0
DPC_WM,0
DPC_WL,0
DPC_WK,0
DPC_WI,0
DPC_WF,0
DPC_MG,0
DPC_WE,0
DPC_WC,0
DPC_MC,0
DPC_VV,0
DPC_VT,0
DPC_VP,0
DPC_MF,0
DPC_NC,0
DPC_ND,0
DPC_LT,0
DPC_QV,0
DPC_PH,0
DPC_PI,0
DPC_RD,0
DPC_PM,0
DPC_PN,0
DPC_QY,0
DPC_QW,0
DPC_QT,0
DPC_RP,0
DPC_QS,0
DPC_PP,0
DPC_QM,0
DPC_QL,0
DPC_QI,0
DPC_QH,0
DPC_QA,0
DPC_RM,0
DPC_RQ,0
DPC_NE,0
DPC_NS,0
DPC_NF,0
DPC_NH,0
DPC_NI,0
DPC_SM,0
DPC_NK,0
DPC_SK,0
DPC_NM,0
DPC_SD,0
DPC_PE,0
DPC_NT,0
DPC_NV,0
DPC_RY,0
DPC_NW,0
DPC_NY,0
DPC_PC,0
DPC_PD,0
DPC_WR,0
DPC_WW,0
CTDD_63,0
DPC_IM,0
2_framed_TTA,0
CTDD_20,0
DPC_HY,0
DPC_IE,0
DPC_II,0
DPC_IK,0
DPC_IL,0
3_framed_AGC,0
DPC_HT,0
DPC_IP,0
3_framed_AGT,0
CTDC_38,0
DPC_IR,0
DPC_IT,0
DPC_IV,0
3_framed_CAC,0
DPC_QC,0
DPC_HN,0
CTDC_30,0
DPC_HD,0
2_framed_GAT,0
2_framed_GCT,0
DPC_GV,0
DPC_GW,0
CTDD_48,0
DPC_GY,0
DPC_HA,0
2_framed_TAC,0
CTDD_30,0
DPC_HE,0
DPC_HF,0
DPC_HG,0
DPC_HI,0
DPC_HK,0
2_framed_TCT,0
DPC_HM,0
DPC_IW,0
DPC_IY,0
DPC_WY,0
DPC_YL,0
DPC_YV,0
DPC_YS,0
DPC_YR,0
DPC_YQ,0
DPC_YP,0
DPC_YN,0
DPC_YM,0
DPC_YK,0
DPC_YY,0
DPC_YI,0
DPC_YH,0
DPC_LM,0
DPC_LN,0
DPC_YE,0
1_framed_TDE.CGC,0
DPC_YC,0
DPC_YW,0
DPC_LH,0
DPC_KC,0
DPC_KN,0
DPC_KD,0
CTDC_25,0
CTDC_24,0
3_framed_CGT,0
DPC_KI,0
DPC_KL,0
DPC_KM,0
3_framed_GCG,0
DPC_LG,0
DPC_KQ,0
DPC_KR,0
DPC_KS,0
DPC_KW,0
1_framed_TDE.CGT,0
DPC_LE,0
DPC_LF,0
DPC_GH,0
