feature_name,importance
AAC_K,13
AAC_I,13
CTDD_195,13
CTDD_28,13
3_framed_CGA,13
CTDT_7,13
CTDT_32,13
3_framed_GTG,13
CTDD_75,13
CTDD_153,13
CTDT_21,13
CTDD_32,13
3_framed_GCG,13
2_framed_ACA,12
2_framed_AGG,12
CTDD_60,12
CTDD_184,12
2_framed_TDE.GGA,12
CTDD_2,12
3_framed_CAG,12
1_framed_TDE.ACA,12
CTDD_49,12
CTDD_77,12
1_framed_CAG,12
1_framed_AGC,12
3_framed_TDE.GTG,12
DPC_QS,12
CTDD_94,12
3_framed_TDE.AAA,12
3_framed_TDE.CTG,12
3_framed_GAT,12
AAC_T,12
CTDC_12,12
AAC_S,12
AAC_E,12
CTDD_53,11
3_framed_TGT,11
3_framed_TDE.CTT,11
1_framed_GAT,11
CTDD_80,11
3_framed_GCT,11
CTDD_54,11
CTDD_194,11
CTDD_115,11
CTDD_112,11
2_framed_TDE.GAA,11
2_framed_TDE.TGG,11
CTDD_85,11
CTDT_39,11
1_framed_GCG,11
CTDT_12,11
CTDT_23,11
1_framed_TDE.TAT,11
1_framed_TDE.TTG,11
CTDC_5,11
DPC_IW,11
1_framed_TDE.GTT,11
DPC_IM,11
DPC_TQ,11
DPC_MM,11
CTDT_14,11
2_framed_ATA,11
2_framed_TTC,11
1_framed_CAC,11
1_framed_CAA,11
3_framed_ACA,11
DPC_SE,11
DPC_LF,10
DPC_LI,10
DPC_PT,10
3_framed_TDE.TAC,10
1_framed_TDE.CCA,10
CTDD_131,10
CTDD_129,10
3_framed_GCA,10
CTDD_164,10
CTDD_163,10
1_framed_CA.gap1,10
CTDD_107,10
CTDD_158,10
DPC_SP,10
1_framed_AC.gap1,10
3_framed_TDE.TTC,10
DPC_LD,10
1_framed_TDE.AGC,10
DPC_FR,10
CTDT_13,10
DPC_LA,10
3_framed_CCT,10
1_framed_TDE.AGG,10
2_framed_GGG,10
2_framed_AAG,10
2_framed_TDE.ACT,10
CTDC_29,10
2_framed_GGT,10
1_framed_ATT,10
2_framed_GTA,10
CTDD_91,10
2_framed_TAT,10
3_framed_TCA,10
CTDD_140,9
DPC_EG,9
CTDD_135,9
DPC_QT,9
DPC_NI,9
DPC_GR,9
CTDD_31,9
CTDC_37,9
3_framed_ACG,9
CTDD_111,9
CTDC_18,9
DPC_SH,9
3_framed_GGC,9
DPC_SR,9
CTDD_68,9
2_framed_TGT,9
DPC_WE,9
AAC_V,9
DPC_YP,9
CTDD_96,9
DPC_AM,9
CTDD_48,9
CTDD_82,9
3_framed_TTC,9
2_framed_TC.gap1,9
CTDD_167,9
CTDD_168,9
1_framed_TDE.TGT,9
1_framed_TDE.AAG,9
1_framed_TDE.TGC,9
2_framed_TDE.AAA,9
1_framed_TDE.GTC,9
CTDD_161,9
2_framed_TDE.CAC,9
1_framed_TDE.GGC,9
3_framed_TDE.ATT,9
3_framed_TTA,9
CTDD_165,9
2_framed_TDE.TAC,9
1_framed_TDE.GCC,9
2_framed_TDE.TGT,9
2_framed_TDE.CCC,8
CTDD_171,8
CTDD_67,8
1_framed_TDE.CAT,8
DPC_EH,8
1_framed_CCA,8
DPC_AA,8
CTDD_47,8
CTDD_92,8
CTDD_15,8
