0.02439,0,0.02439,0,0.02439,0,0,0.02439,0,0.02439,0.073171,0.073171,0.02439,0.02439,0,0,0.02439,0,0,0.02439,0.12195,0.073171,0.02439,0,0,0,0,0,0,0.02439,0,0,0,0,0,0.04878,0.073171,0,0,0.02439,0,0.02439,0,0,0.02439,0.02439,0,0,0,0,0,0.02439,0,0.02439,0.02439,0,0,0.02439,0.02439,0.02439,0.02439,0,0,0
0.067797,0.033898,0.033898,0.10169,0.016949,0,0,0,0.016949,0.016949,0.050847,0.016949,0.050847,0.033898,0.016949,0,0.016949,0,0.033898,0,0.050847,0,0.033898,0,0.033898,0,0,0,0,0,0.016949,0.033898,0,0,0,0.016949,0.016949,0,0.033898,0,0.016949,0,0.016949,0,0,0,0,0.016949,0,0,0,0.016949,0.033898,0.016949,0.016949,0,0,0,0.016949,0.033898,0.016949,0,0.050847,0
0.041667,0,0.083333,0.020833,0.020833,0.020833,0.020833,0.020833,0.020833,0,0,0,0,0,0.020833,0.020833,0.020833,0.041667,0,0.020833,0.041667,0.0625,0,0.020833,0.020833,0.020833,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.020833,0,0.020833,0,0,0,0,0.020833,0,0,0,0,0,0,0,0.041667,0,0.020833,0,0,0.020833,0.0625,0.020833,0.10417,0.041667,0.020833
0.043478,0,0.043478,0,0,0,0,0,0.086957,0,0,0.086957,0,0.086957,0,0,0.043478,0,0.086957,0,0,0.043478,0,0,0,0.043478,0,0,0,0,0,0,0.043478,0.043478,0,0,0,0,0,0.043478,0.043478,0,0.043478,0,0.043478,0,0,0,0,0.043478,0,0,0,0,0,0,0,0,0,0,0.086957,0,0,0.043478
0.0375,0.025,0.0125,0.0375,0.025,0.025,0,0,0.0125,0.025,0.0375,0,0.0125,0.0125,0.025,0.025,0.0375,0,0.0125,0.025,0,0.0375,0,0,0,0,0,0.025,0,0.0125,0.025,0.025,0.0375,0.0125,0.075,0.025,0.0125,0.025,0.0375,0,0.0375,0,0.025,0.0125,0.0125,0,0.0125,0,0,0.0125,0,0,0.0125,0,0.0125,0.025,0,0,0,0.0125,0.025,0.0375,0.025,0
0,0,0,0.038462,0,0,0,0,0,0.038462,0,0,0,0,0,0.038462,0,0,0,0,0,0.038462,0,0.038462,0.11538,0.038462,0.11538,0,0,0,0,0,0.038462,0,0,0,0.038462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038462,0.076923,0.038462,0.038462,0.038462,0,0,0.038462,0,0,0.076923,0.076923,0.038462
0,0,0,0,0,0.054054,0.027027,0,0.027027,0.027027,0.027027,0.027027,0.081081,0,0.027027,0,0,0,0.027027,0.027027,0,0,0,0.027027,0.027027,0.054054,0,0.027027,0,0,0,0,0,0,0,0,0,0,0.027027,0.027027,0,0,0,0.027027,0,0,0.054054,0,0,0.027027,0,0,0.027027,0.027027,0.081081,0,0,0,0.027027,0.027027,0.054054,0.027027,0.027027,0.054054
0.025,0,0.075,0,0,0.025,0,0,0,0.025,0.05,0.025,0,0.025,0.025,0,0,0.05,0.025,0,0.025,0,0.1,0.025,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0,0,0.05,0,0,0,0.025,0.025,0,0,0.025,0,0,0.025,0,0.025,0,0,0.05,0.025,0,0,0.025,0.05,0
0,0,0.09375,0,0,0,0.09375,0,0,0,0,0,0,0.09375,0,0,0,0.03125,0.03125,0,0,0,0.09375,0,0,0,0,0,0,0.03125,0,0,0,0,0.03125,0,0.03125,0.03125,0,0,0,0,0.03125,0.03125,0,0.0625,0.03125,0.03125,0,0.03125,0,0,0,0.0625,0.03125,0,0,0.03125,0,0,0.03125,0,0.0625,0
0,0,0.041667,0,0.041667,0,0.041667,0,0,0,0.083333,0,0.083333,0,0,0,0,0.041667,0,0,0,0,0,0,0.041667,0.041667,0,0,0,0,0,0,0,0,0,0,0.041667,0,0,0,0,0,0,0,0,0,0.041667,0,0,0,0,0,0,0.20833,0,0,0,0.041667,0,0.083333,0,0.041667,0.083333,0.041667
