feature_name,importance
CTDD_144,13
CTDD_98,13
CTDD_193,13
DPC_NC,13
DPC_LA,13
3_framed_CTG,13
DPC_RQ,13
3_framed_GTG,13
CTDD_132,13
CTDD_89,13
CTDD_50,13
AAC_T,13
DPC_PR,12
CTDD_38,12
CTDD_139,12
3_framed_AAT,12
1_framed_TAC,12
AAC_F,12
CTDD_110,12
3_framed_TC.gap1,12
3_framed_TDE.TCT,12
CTDD_136,12
DPC_SD,12
CTDD_113,12
3_framed_TDE.ATA,12
3_framed_AGA,12
2_framed_TDE.GTC,12
DPC_MI,12
2_framed_TTC,12
CTDD_23,12
CTDD_24,12
1_framed_CT.gap1,12
CTDC_3,12
CTDT_23,12
CTDT_27,12
CTDD_127,12
3_framed_GA.gap1,12
CTDD_29,12
1_framed_CCA,12
1_framed_TDE.TTG,12
1_framed_GAT,11
CTDT_14,11
DPC_WS,11
2_framed_GA.gap1,11
DPC_IH,11
DPC_KM,11
3_framed_TDE.CTC,11
1_framed_GGT,11
CTDD_92,11
DPC_IN,11
CTDD_88,11
3_framed_TTT,11
CTDD_82,11
CTDD_47,11
CTDT_36,11
CTDD_164,11
CTDD_158,11
CTDD_184,11
CTDD_33,11
CTDD_63,11
DPC_MC,11
CTDC_2,11
CTDD_118,11
2_framed_TAA,11
CTDD_15,11
3_framed_AGC,11
3_framed_ACA,11
1_framed_GTT,11
3_framed_TT.gap1,11
2_framed_GCC,11
2_framed_CGG,11
1_framed_GGC,11
CTDD_194,11
2_framed_TTA,11
DPC_PP,10
3_framed_TDE.CCA,10
DPC_CK,10
CTDC_24,10
DPC_LF,10
CTDD_31,10
3_framed_TDE.CGA,10
DPC_PQ,10
DPC_YF,10
DPC_TI,10
CTDD_71,10
DPC_MT,10
DPC_LK,10
CTDD_42,10
DPC_MY,10
2_framed_CGA,10
CTDD_119,10
2_framed_TCT,10
CTDD_152,10
1_framed_TDE.GGC,10
2_framed_TGC,10
CTDD_154,10
CTDT_3,10
1_framed_CTC,10
1_framed_TDE.CCC,10
2_framed_GTG,10
2_framed_TDE.CTA,10
1_framed_CTA,10
3_framed_AAC,10
CTDD_111,10
1_framed_CGA,10
CTDD_112,10
CTDD_178,10
CTDT_21,10
1_framed_TG.gap1,10
3_framed_TGG,10
2_framed_CT.gap1,10
CTDD_93,10
CTDT_18,10
2_framed_GG.gap1,10
1_framed_TDE.GCA,10
CTDD_175,10
3_framed_GGA,10
1_framed_TDE.GTC,10
DPC_AM,9
DPC_TN,9
CTDD_142,9
CTDD_45,9
1_framed_TDE.TCA,9
DPC_AI,9
CTDT_7,9
CTDD_39,9
DPC_TS,9
CTDD_157,9
2_framed_TCC,9
CTDD_163,9
CTDC_37,9
CTDD_3,9
3_framed_CC.gap1,9
3_framed_TDE.CAG,9
3_framed_TG.gap1,9
CTDD_12,9
1_framed_TDE.AAA,9
3_framed_CTC,9
CTDC_6,9
1_framed_TDE.ACT,9
3_framed_CGT,9
3_framed_CGG,9
DPC_FV,9
1_framed_TDE.CAG,9
CTDD_131,9
DPC_GA,9
1_framed_TDE.TTA,9
DPC_EN,9
CTDD_75,9
2_framed_TDE.GCC,9
CTDD_60,9
CTDD_64,9
3_framed_TDE.GCC,9
2_framed_TDE.ATG,9
DPC_KL,9
DPC_KI,9
DPC_RK,9
CTDD_104,9
2_framed_AGG,9
CTDT_30,9
1_framed_ACC,9
CTDD_67,8
CTDT_2,8
DPC_LP,8
DPC_FP,8
DPC_DC,8
1_framed_TDE.CCA,8
DPC_PT,8
DPC_SP,8
CTDD_99,8
CTDD_20,8
CTDC_14,8
1_framed_AGT,8
CTDD_77,8
1_framed_AGG,8
CTDD_95,8
DPC_NL,8
