feature_name,importance
CTDD_162,12
1_framed_CAT,12
CTDD_37,12
1_framed_GG.gap1,12
AAC_L,12
DPC_TA,12
3_framed_AGT,12
3_framed_ACA,12
CTDD_157,11
3_framed_TDE.CAC,11
2_framed_TDE.CAA,11
1_framed_GGT,11
2_framed_TDE.AGC,11
CTDT_9,11
CTDD_48,11
CTDD_75,11
CTDD_4,11
DPC_QS,11
DPC_ML,11
DPC_TQ,11
DPC_WP,11
3_framed_TGC,11
CTDC_10,11
3_framed_GGA,11
3_framed_GAA,11
DPC_EP,11
DPC_EK,11
3_framed_CTT,11
CTDD_6,11
CTDD_62,11
CTDD_7,11
CTDD_39,11
3_framed_CA.gap1,11
DPC_IS,10
CTDD_54,10
CTDT_27,10
CTDD_144,10
2_framed_TDE.TGC,10
CTDT_24,10
CTDT_17,10
CTDC_7,10
AAC_E,10
DPC_CL,10
3_framed_TDE.GCC,10
DPC_ID,10
DPC_GC,10
CTDD_27,10
3_framed_TDE.TGC,10
AAC_T,10
CTDD_174,10
2_framed_TDE.GTC,10
CTDT_39,10
3_framed_TCA,10
1_framed_AAA,10
1_framed_TDE.GAA,10
3_framed_AGA,10
1_framed_ACA,10
1_framed_TDE.CAA,10
1_framed_ACC,10
1_framed_CGC,10
2_framed_CA.gap1,10
1_framed_TCA,10
2_framed_GTG,10
3_framed_TDE.TCG,9
1_framed_GGG,9
3_framed_CAC,9
CTDD_93,9
CTDC_31,9
2_framed_TDE.AAT,9
1_framed_TDE.GTT,9
DPC_PL,9
3_framed_TCG,9
2_framed_TDE.CAG,9
1_framed_AG.gap1,9
3_framed_TDE.AGT,9
CTDT_4,9
CTDD_50,9
CTDD_12,9
2_framed_TTC,9
CTDD_59,9
CTDD_70,9
2_framed_CTT,9
CTDD_76,9
2_framed_ACA,9
CTDD_100,9
CTDD_135,9
CTDD_106,9
CTDD_126,9
1_framed_TDE.CAG,9
1_framed_GC.gap1,9
1_framed_GTC,9
1_framed_CCT,9
DPC_RK,9
CTDT_30,9
2_framed_CT.gap1,9
2_framed_TDE.TGT,9
DPC_VC,9
CTDT_36,9
1_framed_TDE.TCT,8
CTDD_5,8
3_framed_TDE.TCC,8
2_framed_TTG,8
1_framed_TDE.AAA,8
AAC_M,8
AAC_Q,8
3_framed_TDE.TCA,8
3_framed_AGC,8
1_framed_GGC,8
CTDD_30,8
3_framed_ACC,8
CTDT_28,8
2_framed_GCT,8
1_framed_TA.gap1,8
3_framed_TDE.GTG,8
CTDD_69,8
1_framed_TTG,8
2_framed_CTG,8
CTDD_89,8
DPC_DL,8
1_framed_TDE.ATA,8
CTDD_151,8
DPC_TS,8
2_framed_AGG,8
1_framed_AAC,8
CTDD_117,8
CTDD_110,8
1_framed_TDE.TTT,8
CTDD_113,8
2_framed_TDE.ATT,8
3_framed_TDE.AAT,8
3_framed_GC.gap1,8
DPC_YV,8
3_framed_TGA,8
DPC_QV,8
3_framed_TDE.ACA,8
3_framed_AT.gap1,8
CTDC_12,8
DPC_NM,7
CTDD_90,7
CTDC_18,7
2_framed_TDE.CTC,7
CTDD_170,7
CTDD_153,7
CTDD_92,7
DPC_SH,7
CTDD_159,7
DPC_KL,7
DPC_SR,7
CTDD_175,7
CTDD_51,7
CTDD_183,7
DPC_AP,7
CTDD_64,7
CTDD_80,7
DPC_AR,7
1_framed_TDE.AGC,7
DPC_AT,7
DPC_PW,7
1_framed_ACG,7
DPC_PS,7
3_framed_GTA,7
DPC_FL,7
3_framed_TDE.GCT,7
3_framed_TDE.GGC,7
2_framed_AGA,7
1_framed_TDE.TGT,7
CTDD_3,7
3_framed_TT.gap1,7
CTDD_145,7
CTDD_17,7
DPC_RP,7
DPC_RC,7
CTDT_20,7
DPC_DV,7
CTDC_35,7
DPC_HL,6
CTDD_73,6
2_framed_ATC,6
CTDD_109,6
CTDD_88,6
2_framed_AGT,6
CTDT_34,6
2_framed_TDE.GGG,6
DPC_FR,6
CTDD_137,6
1_framed_TDE.CCT,6
CTDD_138,6
DPC_SV,6
2_framed_CAC,6
DPC_TK,6
3_framed_TDE.CAG,6
1_framed_TDE.ATG,6
2_framed_CGA,6
CTDD_177,6
CTDD_40,6
2_framed_TDE.TCG,6
CTDD_18,6
1_framed_TDE.GTC,6
DPC_VL,6
DPC_PR,6
DPC_SC,6
3_framed_TDE.GAC,6
3_framed_TDE.GAA,6
3_framed_TAG,6
DPC_RV,6
2_framed_TGC,6
DPC_AH,6
3_framed_TAA,6
2_framed_TDE.CGC,6
1_framed_TDE.CGC,6
DPC_RS,6
CTDC_28,6
