feature_name,importance
3_framed_CTA,12
CTDD_195,12
DPC_IT,12
CTDD_87,12
2_framed_TDE.CGA,12
2_framed_TT.gap1,12
1_framed_TDE.CGA,12
CTDD_113,12
1_framed_TAC,12
2_framed_TAT,12
CTDD_174,12
2_framed_TDE.CTG,11
DPC_CA,11
CTDD_23,11
3_framed_TDE.CGT,11
CTDD_62,11
2_framed_TDE.CTA,11
DPC_TH,11
CTDT_3,11
CTDD_70,11
3_framed_ATG,11
2_framed_GAC,11
3_framed_CGG,11
CTDD_3,11
1_framed_CTT,11
2_framed_TDE.TCG,11
3_framed_TDE.ATC,11
CTDD_8,11
DPC_DQ,11
3_framed_GTT,11
CTDD_88,11
1_framed_GTG,11
AAC_H,11
2_framed_ACT,11
2_framed_TDE.TGG,11
3_framed_GTC,11
CTDD_154,10
1_framed_AAG,10
CTDD_91,10
CTDD_16,10
DPC_ED,10
3_framed_TDE.CCT,10
2_framed_CAT,10
2_framed_CC.gap1,10
DPC_EL,10
CTDD_171,10
CTDD_50,10
DPC_RV,10
3_framed_ATA,10
DPC_GR,10
CTDD_64,10
CTDD_183,10
2_framed_CCA,10
2_framed_CG.gap1,10
CTDT_18,10
2_framed_TDE.CTT,10
1_framed_CCT,10
DPC_PF,10
1_framed_TDE.TCG,10
CTDC_11,10
DPC_SN,10
DPC_NQ,10
CTDT_19,9
DPC_DP,9
DPC_PP,9
CTDT_12,9
3_framed_TDE.AAC,9
CTDD_13,9
CTDT_25,9
DPC_DR,9
CTDD_90,9
DPC_HA,9
2_framed_TDE.AAG,9
DPC_KC,9
1_framed_CC.gap1,9
CTDD_112,9
DPC_TN,9
2_framed_GTA,9
3_framed_ACG,9
2_framed_TDE.CTC,9
1_framed_ACC,9
DPC_WT,9
DPC_RD,9
2_framed_CCT,9
2_framed_TDE.GTG,9
2_framed_TCT,9
CTDD_41,9
AAC_E,8
DPC_QP,8
3_framed_TDE.GCC,8
DPC_RP,8
DPC_QK,8
DPC_MP,8
2_framed_ACC,8
AAC_S,8
2_framed_GTC,8
CTDT_5,8
DPC_IV,8
1_framed_ACA,8
DPC_AP,8
DPC_SH,8
CTDD_109,8
DPC_KI,8
1_framed_GA.gap1,8
DPC_KM,8
2_framed_TDE.GCT,8
1_framed_CCC,8
CTDD_126,8
CTDD_52,8
CTDD_27,8
1_framed_CGA,8
CTDD_22,8
3_framed_CCT,8
CTDD_26,8
3_framed_TDE.ACG,8
2_framed_TGT,7
AAC_G,7
2_framed_AGA,7
DPC_RM,7
CTDT_27,7
DPC_NY,7
2_framed_TCG,7
DPC_AV,7
